Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
LA QUETZALTECA,25 GEORGETOWN PLAZA,GEORGETOWN,19947,01/17/2020,Routine,7-202.12,Conditions of Use,"25 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.68029, -75.396529)"
LA QUETZALTECA,25 GEORGETOWN PLAZA,GEORGETOWN,19947,01/17/2020,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","25 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.68029, -75.396529)"
LA QUETZALTECA,25 GEORGETOWN PLAZA,GEORGETOWN,19947,01/17/2020,Routine,2-102.11,Demonstration of Knowledge,"25 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.68029, -75.396529)"
LA QUETZALTECA,25 GEORGETOWN PLAZA,GEORGETOWN,19947,01/17/2020,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","25 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.68029, -75.396529)"
LA QUETZALTECA,25 GEORGETOWN PLAZA,GEORGETOWN,19947,01/17/2020,Routine,6-501.111,Controlling Pests,"25 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.68029, -75.396529)"
LA QUETZALTECA,25 GEORGETOWN PLAZA,GEORGETOWN,19947,01/17/2020,Routine,7-202.12,Conditions of Use,"25 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.68029, -75.396529)"
LA QUETZALTECA,25 GEORGETOWN PLAZA,GEORGETOWN,19947,01/23/2020,Follow-up,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","25 GEORGETOWN PLAZA
GEORGETOWN, DE 19947
(38.68029, -75.396529)"
LA SABROSA FOOD LLC,1200 MARYLAND AVE,WILMINGTON,19805,01/14/2021,Routine,,,"1200 MARYLAND AVE
WILMINGTON, DE 19805
(39.736134, -75.570369)"
LAPLACITA,RT 13 MARKET,LAUREL,19956,02/28/2020,Routine,,,
LAPLACITA,RT 13 MARKET,LAUREL,19956,08/20/2021,Routine,,,
LASHER'S BBQ,21957 IRIS FIELD LN,GEORGETOWN,19947,01/29/2020,Complaint,,,"21957 IRIS FIELD LN
GEORGETOWN, DE 19947
(38.640885, -75.369283)"
LASHER'S BBQ,21957 IRIS FIELD LN,GEORGETOWN,19947,03/12/2021,Routine,,,"21957 IRIS FIELD LN
GEORGETOWN, DE 19947
(38.640885, -75.369283)"
LATIN FLAVOR,527 S JACKSON ST,WILMINGTON,19805,06/29/2020,Routine,,,"527 S JACKSON ST
WILMINGTON, DE 19805
(39.738452, -75.564706)"
LAUREL AUCTION BLOCK,10667 GEORGETOWN RD,LAUREL,19956,07/28/2021,Routine,,,"10667 GEORGETOWN RD
LAUREL, DE 19956
(38.568726, -75.564254)"
LAUREL COFFEE SHOP,217 EAST MARKET ST,LAUREL,19956,03/11/2021,Routine,,,"217 EAST MARKET ST
LAUREL, DE 19956
(38.556388, -75.569733)"
LAUREL ELEMENTARY SCHOOL,815 S CENTRAL AVE,LAUREL,19956,10/12/2021,Routine,,,"815 S CENTRAL AVE
LAUREL, DE 19956
(38.551118, -75.569854)"
LAUREL EXXON,ROUTES 13 & 9`,LAUREL,19956,02/18/2020,Routine,,,
LAUREL EXXON,ROUTES 13 & 9`,LAUREL,19956,09/02/2021,Routine,,,
LAUREL LITTLE LEAGUE,WOODLAND FERRY RD/PO BOX 207,LAUREL,19956,05/10/2021,Routine,,,
LAUREL MIDDLE HIGH SCHOOL,1133 S CENTRAL AVE,LAUREL,19956,10/12/2021,Routine,,,"1133 S CENTRAL AVE
LAUREL, DE 19956
(38.545956, -75.569431)"
LAUREL PIZZERA,411 N CENTRAL AVE,LAUREL,19956,03/05/2020,Routine,7-201.11,Separation-Storage,"411 N CENTRAL AVE
LAUREL, DE 19956
(38.562314, -75.570807)"
LAUREL PIZZERA,411 N CENTRAL AVE,LAUREL,19956,07/26/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","411 N CENTRAL AVE
LAUREL, DE 19956
(38.562314, -75.570807)"
LAUREL PIZZERA,411 N CENTRAL AVE,LAUREL,19956,07/26/2021,Routine,7-201.11,Separation-Storage,"411 N CENTRAL AVE
LAUREL, DE 19956
(38.562314, -75.570807)"
LAUREL PIZZERA,411 N CENTRAL AVE,LAUREL,19956,07/26/2021,Routine,6-501.111,Controlling Pests,"411 N CENTRAL AVE
LAUREL, DE 19956
(38.562314, -75.570807)"
LAUREL PIZZERA,411 N CENTRAL AVE,LAUREL,19956,07/30/2021,Follow-up,,,"411 N CENTRAL AVE
LAUREL, DE 19956
(38.562314, -75.570807)"
LAUREL SCHOOL DISTRICT MOBILE,1160 S CENTRAL AVE,LAUREL,19956,06/04/2020,Routine,,,"1160 S CENTRAL AVE
LAUREL, DE 19956
(38.542518, -75.569482)"
LAUREL SCHOOL DISTRICT MOBILE,1160 S CENTRAL AVE,LAUREL,19956,10/12/2021,Routine,,,"1160 S CENTRAL AVE
LAUREL, DE 19956
(38.542518, -75.569482)"
LAUREL SENIOR CITIZENS CTR,"POB 64, 113 S CENTRAL AVE",LAUREL,19956,09/16/2021,Routine,,,
LAUREL VFC,205 WEST 10TH ST,LAUREL,19956,11/10/2021,Routine,,,"205 WEST 10TH ST
LAUREL, DE 19956
(38.550412, -75.572775)"
LAUREL WESLEYAN CHURCH,RT 13 A NORTH,LAUREL,19956,11/09/2021,Routine,,,
LEANS AND ANT BUMPYS EATERY,801 N SHIPLY STREET,WILMINGTON,19801,03/16/2021,Routine,,,"801 N SHIPLY STREET
WILMINGTON, DE 19801
(39.743755, -75.549714)"
LEFTY'S ALLEYS & EATS,36450 PLAZA DRIVE,LEWES,19958,03/02/2020,Routine,6-301.11,"Handwashing Cleanser, Availability","36450 PLAZA DRIVE
LEWES, DE 19958
(38.743111, -75.152906)"
LEFTY'S ALLEYS & EATS,36450 PLAZA DRIVE,LEWES,19958,03/02/2020,Routine,4-501.112,"Mechanical Warewashing Equipment, Hot Water Sanitization Temperatures","36450 PLAZA DRIVE
LEWES, DE 19958
(38.743111, -75.152906)"
LEFTY'S ALLEYS & EATS,36450 PLAZA DRIVE,LEWES,19958,03/09/2020,Follow-up,,,"36450 PLAZA DRIVE
LEWES, DE 19958
(38.743111, -75.152906)"
LEWES BEACH DAIRY QUEEN,107 E SAVANNAH RD,LEWES,19958,04/22/2021,Routine,,,"107 E SAVANNAH RD
LEWES, DE 19958
(38.780883, -75.1322)"
LEWES FISHHOUSE & PRODUCE,17696 COASTAL HWY,LEWES,19958,01/22/2020,Routine,5-103.11,Capacity-Quantity and Availability,"17696 COASTAL HWY
LEWES, DE 19958
(38.74845, -75.167262)"
LIBBY'S RESTAURNAT,227 W 8TH STREET,WILMINGTON,19801,04/16/2020,Routine,,,"227 W 8TH STREET
WILMINGTON, DE 19801
(39.744279, -75.551354)"
LIBERTY GAS & SHORE STAR,31507 OAK ORCHARD RD,MILLSBORO,19966,03/02/2021,Routine,,,"31507 OAK ORCHARD RD
MILLSBORO, DE 19966
(38.614179, -75.201862)"
LIDL GROCERY STORE,1604 PULASKI HIGHWAY,BEAR,19702,12/14/2021,Routine,,,"1604 PULASKI HIGHWAY
BEAR, DE 19702
(39.619921, -75.691191)"
LIGHTHOUSE COVE & CATERING @ DEL TECH,ROUTES 404 & 113,GEORGETOWN,19947,02/12/2020,Routine,,,
LIGHTHOUSE COVE & CATERING @ DEL TECH,ROUTES 404 & 113,GEORGETOWN,19947,09/16/2021,Routine,,,
LIGHTNING CAFÉ,4701 LIMESTONE RD,WILMINGTON,19808,08/07/2020,Routine,,,"4701 LIMESTONE RD
WILMINGTON, DE 19808
(39.739948, -75.688931)"
LILLI'S PLACE,99 GARFIELD PARKWY UNIT 4,BETHANY BEACH,19930,09/29/2021,Routine,,,"99 GARFIELD PARKWY UNIT 4
BETHANY BEACH, DE 19930
(38.538524, -75.05498)"
LITTLE CAESARS,432 E MARKET ST,GEORGETOWN,19947,02/09/2021,Routine,,,"432 E MARKET ST
GEORGETOWN, DE 19947
(38.695232, -75.379263)"
LITTLE LINCOLN STORE,8405 FRONT ST,LINCOLN,19960,01/22/2020,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","8405 FRONT ST
LINCOLN, DE 19960
(38.870888, -75.423607)"
LITTLE LINCOLN STORE,8405 FRONT ST,LINCOLN,19960,01/22/2020,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","8405 FRONT ST
LINCOLN, DE 19960
(38.870888, -75.423607)"
LITTLE LINCOLN STORE,8405 FRONT ST,LINCOLN,19960,02/03/2020,Complaint,,,"8405 FRONT ST
LINCOLN, DE 19960
(38.870888, -75.423607)"
LITTLE MEXICO CHICITO,206 RACE ST,GEORGETOWN,19947,01/08/2020,Routine,6-302.11,"Toilet Tissue, Availability","206 RACE ST
GEORGETOWN, DE 19947
(38.693097, -75.387613)"
LITTLE MEXICO CHICITO,206 RACE ST,GEORGETOWN,19947,01/08/2020,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","206 RACE ST
GEORGETOWN, DE 19947
(38.693097, -75.387613)"
LITTLE MEXICO CHICITO,206 RACE ST,GEORGETOWN,19947,05/25/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"206 RACE ST
GEORGETOWN, DE 19947
(38.693097, -75.387613)"
LITTLE MEXICO CHICITO,206 RACE ST,GEORGETOWN,19947,11/24/2021,Routine,6-301.11,"Handwashing Cleanser, Availability","206 RACE ST
GEORGETOWN, DE 19947
(38.693097, -75.387613)"
LITTLE MEXICO CHICITO,206 RACE ST,GEORGETOWN,19947,11/24/2021,Routine,7-207.11,Restriction and Storage-Medicines,"206 RACE ST
GEORGETOWN, DE 19947
(38.693097, -75.387613)"
LITTLE SPICE INDIAN CUSINE,4621 OGLETOWN STANTON RD,NEWARK,19713,08/18/2020,Routine,,,"4621 OGLETOWN STANTON RD
NEWARK, DE 19713
(39.686025, -75.680742)"
LOCAL BBQ POST,1715 DELAWARE AVE,WILMINGTON,19806,05/26/2021,Routine,,,"1715 DELAWARE AVE
WILMINGTON, DE 19806
(39.758494, -75.563048)"
LOLO'S MINI MARKET,4937 HICKMAN RD,GREENWOOD,19950,02/11/2020,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","4937 HICKMAN RD
GREENWOOD, DE 19950
(38.826316, -75.653293)"
LOLO'S MINI MARKET,4937 HICKMAN RD,GREENWOOD,19950,02/15/2021,Routine,,,"4937 HICKMAN RD
GREENWOOD, DE 19950
(38.826316, -75.653293)"
LOLO'S MINI MARKET,4937 HICKMAN RD,GREENWOOD,19950,11/08/2021,Routine,,,"4937 HICKMAN RD
GREENWOOD, DE 19950
(38.826316, -75.653293)"
LONG NECK AMVETS POST #22,32369 LONG NECK RD UT 18,MILLSBORO,19966,11/02/2021,Routine,,,"32369 LONG NECK RD UT 18
MILLSBORO, DE 19966
(38.632222, -75.180991)"
LONG NECK ELEM SCHOOL,26064 SCHOOL LN,MILLSBORO,19966,11/01/2021,Routine,,,"26064 SCHOOL LN
MILLSBORO, DE 19966
(38.629909, -75.184686)"
LONGHORN STEAKHOUSE #5619,4157 CONCORD PIKE,WILMINGTON,19803,08/25/2021,Routine,,,
LORENZO'S PIZZA,513 MAIN ST,ODESSA,19730,10/20/2020,Routine,,,"513 MAIN ST
ODESSA, DE 19730
(39.457042, -75.661603)"
LOS KARNALES,110 KIMMEY ST SUITE 102,GEORGETOWN,19947,11/17/2021,Routine,,,"110 KIMMEY ST SUITE 102
GEORGETOWN, DE 19947
(38.693455, -75.38394)"
LOUIE'S PIZZA,11 REHOBOTH AVE,REHOBOTH BEACH,19971,06/16/2020,Complaint,,,"11 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716759, -75.076786)"
LOVERING AVE LIBERTY,1716 LOVERING AVE,WILMINGTON,19806,04/09/2021,Routine,,,"1716 LOVERING AVE
WILMINGTON, DE 19806
(39.760711, -75.560292)"
L-RAE'S PARTY IN A CAN (MOBILE),12 BARBERRY PLACE,WILMINGTON,19810,04/16/2021,Routine,,,"12 BARBERRY PLACE
WILMINGTON, DE 19810
(39.824424, -75.469765)"
LS GOOD EATING LLC,6 GUENEVER DR,NEW CASTLE,19720,10/12/2021,Routine,,,"6 GUENEVER DR
NEW CASTLE, DE 19720
(39.66554, -75.635541)"
LUTHERAN CHURCH OF OUR SAVIOR,20276 BAY VISTA RD,REHOBOTH BEACH,19971,11/10/2021,Routine,,,"20276 BAY VISTA RD
REHOBOTH BEACH, DE 19971
(38.709194, -75.097251)"
LUV THAI,31507 OAK ORCHARD RD,MILLSBORO,19966,10/13/2021,Routine,,,"31507 OAK ORCHARD RD
MILLSBORO, DE 19966
(38.614179, -75.201862)"
M L COUNTRY STORE,10609 SEASHORE HWY,BRIDGEVILLE,19933,03/22/2021,Routine,,,"10609 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.707811, -75.551675)"
M L COUNTRY STORE,10609 SEASHORE HWY,BRIDGEVILLE,19933,03/22/2021,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","10609 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.707811, -75.551675)"
M L COUNTRY STORE,10609 SEASHORE HWY,BRIDGEVILLE,19933,03/22/2021,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","10609 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.707811, -75.551675)"
M L COUNTRY STORE,10609 SEASHORE HWY,BRIDGEVILLE,19933,03/22/2021,Routine,2-101.11,Assignment of Responsibility,"10609 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.707811, -75.551675)"
M L COUNTRY STORE,10609 SEASHORE HWY,BRIDGEVILLE,19933,03/22/2021,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","10609 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.707811, -75.551675)"
M L COUNTRY STORE,10609 SEASHORE HWY,BRIDGEVILLE,19933,03/22/2021,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","10609 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.707811, -75.551675)"
M L COUNTRY STORE,10609 SEASHORE HWY,BRIDGEVILLE,19933,03/22/2021,Routine,3-201.11,Compliance with Food Law,"10609 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.707811, -75.551675)"
M.O.T SENIOR CENTER II,30 S SCOTT STREET,MIDDLETOWN,19709,02/11/2020,Routine,,,"30 S SCOTT STREET
MIDDLETOWN, DE 19709
(39.448769, -75.719893)"
M20 BURGERS & SALADS,42 E MAIN ST,NEWARK,19711,09/10/2020,Routine,,,"42 E MAIN ST
NEWARK, DE 19711
(39.68313, -75.751869)"
MACHETE MOBIL LLC,310 GLASGOW DR,NEWARK,19702,11/09/2021,Routine,,,"310 GLASGOW DR
NEWARK, DE 19702
(39.625806, -75.69639)"
MAGNOLIA LOUNGE & EVENTS,16 VAN DYKE DR,NEW CASTLE,19720,10/19/2021,Routine,,,"16 VAN DYKE DR
NEW CASTLE, DE 19720
(39.67306, -75.566251)"
MAMA JUANA GROCERY INC,822 MARYLAND AVE,WILMINGTON,19805,01/26/2021,Routine,,,"822 MARYLAND AVE
WILMINGTON, DE 19805
(39.737111, -75.567889)"
MANCINI'S BRICK OVEN,907 COASTAL HWY,FENWICK ISLAND,19944,01/12/2022,Routine,,,"907 COASTAL HWY
FENWICK ISLAND, DE 19944
(38.459037, -75.051967)"
MANGO MIKE'S,97 GARFIELD PKWY,BETHANY BEACH,19930,04/30/2021,Routine,4-501.112,"Mechanical Warewashing Equipment, Hot Water Sanitization Temperatures","97 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.538508, -75.054792)"
MANGO MIKE'S,97 GARFIELD PKWY,BETHANY BEACH,19930,04/30/2021,Routine,4-302.13,"Temperature Measuring Devices, Manual and Mechanical Warewashing","97 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.538508, -75.054792)"
MANGO MIKE'S,97 GARFIELD PKWY,BETHANY BEACH,19930,05/07/2021,Follow-up,,,"97 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.538508, -75.054792)"
MARILYN'S CATERING,20520 SAND HILL RD,GEORGETOWN,19947,01/06/2020,Routine,,,"20520 SAND HILL RD
GEORGETOWN, DE 19947
(38.700498, -75.368098)"
MARINER MIDDLE SCHOOL,16391 HARBESON ROAD,MILTON,19968,10/19/2021,Routine,,,"16391 HARBESON ROAD
MILTON, DE 19968
(38.762677, -75.313328)"
MARINERS BETHEL UMC,81 CENTRAL AVE,OCEAN VIEW,19970,06/30/2021,Routine,,,"81 CENTRAL AVE
OCEAN VIEW, DE 19970
(38.543722, -75.092766)"
MARISCOS LA PERLA,RT 13 MARKET,LAUREL,19956,02/28/2020,Routine,,,
MARISCOS LA PERLA,RT 13 MARKET,LAUREL,19956,08/20/2021,Routine,4-302.12,Food Temperature Measuring Devices,
MARRIOTT RESIDENCE INN,18964 JOHN J WILLIAMS HWY,REHOBOTH BEACH,19971,11/08/2021,Routine,6-301.11,"Handwashing Cleanser, Availability","18964 JOHN J WILLIAMS HWY
REHOBOTH BEACH, DE 19971
(38.725995, -75.140226)"
MARRIOTT RESIDENCE INN,18964 JOHN J WILLIAMS HWY,REHOBOTH BEACH,19971,11/08/2021,Routine,6-301.12,Hand Drying Provision,"18964 JOHN J WILLIAMS HWY
REHOBOTH BEACH, DE 19971
(38.725995, -75.140226)"
MATT'S FISH CAMP,700 COASTAL HWY,FENWICK ISLAND,19944,09/21/2021,Routine,,,"700 COASTAL HWY
FENWICK ISLAND, DE 19944
(38.456973, -75.052174)"
MATT'S FISHCAMP,28635 COATAL HWY,BETHANY BEACH,19930,07/15/2021,Routine,,,"28635 COATAL HWY
BETHANY BEACH, DE 19930
(38.586466, -75.061582)"
MAUDY'S HISPANIC CUISINE,21 E MARKET ST,GEORGETOWN,19947,02/13/2020,Routine,,,"21 E MARKET ST
GEORGETOWN, DE 19947
(38.690629, -75.385142)"
MAUDY'S HISPANIC CUISINE,21 E MARKET ST,GEORGETOWN,19947,06/21/2021,Routine,,,"21 E MARKET ST
GEORGETOWN, DE 19947
(38.690629, -75.385142)"
MAUDY'S HISPANIC CUISINE,21 E MARKET ST,GEORGETOWN,19947,12/13/2021,Routine,,,"21 E MARKET ST
GEORGETOWN, DE 19947
(38.690629, -75.385142)"
MAUI POKE BOWL,1223 QUINTILIO DR,BEAR,19701,09/09/2020,Routine,,,"1223 QUINTILIO DR
BEAR, DE 19701
(39.631017, -75.665679)"
MAUREEN'S ICE CREAM & DESSERTS,99 GARFIELD PARKWAY,BETHANY BEACH,19930,05/07/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"99 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.538524, -75.05498)"
MCDONALDS,101 S DUPONT HWY,NEW CASTLE,19720,01/19/2021,Routine,,,"101 S DUPONT HWY
NEW CASTLE, DE 19720
(39.664779, -75.60509)"
MCDONALDS,1790 W NEWPORT PIKE,STANTON,19804,01/14/2021,Routine,,,"1790 W NEWPORT PIKE
STANTON, DE 19804
(39.715733, -75.630265)"
MCDONALDS,20817 DUPONT HWY,GEORGETOWN,19947,05/06/2021,Routine,6-301.12,Hand Drying Provision,"20817 DUPONT HWY
GEORGETOWN, DE 19947
(38.692494, -75.398854)"
MCDONALDS,3318 KIRKWOOD HWY,WILMINGTON,19808,01/13/2021,Routine,,,"3318 KIRKWOOD HWY
WILMINGTON, DE 19808
(39.736191, -75.629788)"
MCDONALDS,4160 STANTON OGLETOWN RD,NEWARK,19713,01/19/2021,Routine,,,
MCDONALDS,4625 KIRKWOOD HWY,WILMINGTON,19808,01/12/2021,Routine,,,"4625 KIRKWOOD HWY
WILMINGTON, DE 19808
(39.722872, -75.660171)"
MCDONALD'S OF BRIDGEVILLE,RT 404 & RT 13,BRIDGEVILLE,19933,07/26/2021,Routine,,,
MCDONALDS RESTAURANT,US RT 1 & ADDY RD,BETHANY BEACH,19930,03/03/2020,Routine,,,
MCDONALDS RESTAURANT,US RT 1 & ADDY RD,BETHANY BEACH,19930,03/03/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness",
MCDONALDS RESTAURANT,US RT 1 & ADDY RD,BETHANY BEACH,19930,03/12/2021,Follow-up,4-204.115,"Warewashing Machines, Temperature Measuring Devices",
MCDONALDS RESTAURANT,US RT 1 & ADDY RD,BETHANY BEACH,19930,04/26/2021,Follow-up,,,
MCDONALDS RESTAURANT,US RT 1 & ADDY RD,BETHANY BEACH,19930,07/12/2021,Complaint,,,
MCDONALD'S RESTAURANT,38667 SUSSEX HWY,DELMAR,19940,03/05/2020,Routine,,,"38667 SUSSEX HWY
DELMAR, DE 19940
(38.457033, -75.558074)"
MCDONALD'S RESTAURANT,38667 SUSSEX HWY,DELMAR,19940,09/20/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","38667 SUSSEX HWY
DELMAR, DE 19940
(38.457033, -75.558074)"
MCDONLDS,700 N DUPONT HWY,NEW CASTLE,19720,01/13/2021,Routine,,,"700 N DUPONT HWY
NEW CASTLE, DE 19720
(39.685798, -75.585292)"
MERENGUE HOUSE BAR & RESTAURANT,837 N UNION STREET,WILMINGTON,19805,01/19/2021,Routine,,,"837 N UNION STREET
WILMINGTON, DE 19805
(39.753437, -75.570138)"
MESTIZ  MOBILE UNIT,18157 FLEATOWN RD,ELLENDALE,19941,06/02/2021,Routine,,,"18157 FLEATOWN RD
ELLENDALE, DE 19941
(38.828137, -75.433084)"
MICHELE MITCHELL PASTRY DESIGNS INC,2205 THOMAS RD,WILMINGTON,19805,02/05/2021,Routine,,,"2205 THOMAS RD
WILMINGTON, DE 19805
(39.792275, -75.542301)"
MICKEY'S FAMILY CRABHOUSE,222  JEFFERSON BRIDGE RD,BETHANY BEACH,19930,07/15/2021,Routine,,,"222  JEFFERSON BRIDGE RD
BETHANY BEACH, DE 19930
(38.530556, -75.055997)"
MICROTEL INN AND SUITES,22297 DUPONT HWY,GEORGETOWN,19947,05/21/2021,Routine,,,"22297 DUPONT HWY
GEORGETOWN, DE 19947
(38.679504, -75.3935)"
MIDDLEFORD DELI,RD 4  BOX 186-D,SEAFORD,19973,01/30/2020,Routine,,,
MIDDLETOWN BULK FOODS,701 N BROAD ST,MIDDLETOWN,19709,08/16/2021,Routine,,,"701 N BROAD ST
MIDDLETOWN, DE 19709
(39.45779, -75.719318)"
MIKE'S FAMEOUS STEAKS AND SUBS,754 E CHESTNUST HILL RD,NEWARK,19713,06/11/2021,Routine,,,"754 E CHESTNUST HILL RD
NEWARK, DE 19713
(39.677204, -75.699099)"
MILANO'S PIZZERIA,20 PENNSYLVANIA AVE,DELMAR,19940,02/25/2020,Routine,7-208.11,Storage-First Aid Supplies,"20 PENNSYLVANIA AVE
DELMAR, DE 19940
(38.456652, -75.577864)"
MILANO'S PIZZERIA,20 PENNSYLVANIA AVE,DELMAR,19940,07/21/2021,Routine,,,"20 PENNSYLVANIA AVE
DELMAR, DE 19940
(38.456652, -75.577864)"
MILANO'S PIZZERIA,20 PENNSYLVANIA AVE,DELMAR,19940,01/18/2022,Routine,,,"20 PENNSYLVANIA AVE
DELMAR, DE 19940
(38.456652, -75.577864)"
MILK AND HONEY CAFÉ,239 N MARKET STREET,WILMINGTON,19801,08/31/2020,Routine,,,"239 N MARKET STREET
WILMINGTON, DE 19801
(39.739703, -75.551766)"
MILLERS COUNTRY KITCEHN II,701 N BROAD ST,MIDDLETOWN,19709,10/15/2021,Routine,,,"701 N BROAD ST
MIDDLETOWN, DE 19709
(39.45779, -75.719318)"
MILLSBORO LANES INC,213 MITCHELL ST,MILLSBORO,19966,01/02/2020,Routine,,,"213 MITCHELL ST
MILLSBORO, DE 19966
(38.584085, -75.289877)"
MILTON ELEMENTARY SCHOOL,512 FEDERAL ST,MILTON,19968,08/16/2021,Routine,,,"512 FEDERAL ST
MILTON, DE 19968
(38.771463, -75.31437)"
MILTON ELEMENTARY SCHOOL,512 FEDERAL ST,MILTON,19968,11/02/2021,Routine,,,"512 FEDERAL ST
MILTON, DE 19968
(38.771463, -75.31437)"
MILTON LITTLE LEAGUE,P O BOX 175,MILTON,19968,04/16/2021,Routine,,,
MILTON LITTLE LEAGUE,P O BOX 175,MILTON,19968,04/21/2021,Routine,6-301.11,"Handwashing Cleanser, Availability",
MILTON QUICK STOP,122 ELLENDALE RD,MILTON,19968,02/19/2020,Routine,2-301.15,Where to Wash,
MILTON QUICK STOP,122 ELLENDALE RD,MILTON,19968,03/20/2020,Complaint,,,
MILTON QUICK STOP,122 ELLENDALE RD,MILTON,19968,08/12/2021,Routine,,,
MILTONIAN PIZZERIA INC.,618 MULBERRY ST,MILTON,19968,04/06/2021,Routine,,,"618 MULBERRY ST
MILTON, DE 19968
(38.787305, -75.318562)"
MIO PADRE PIZZERIA,26670 CENTERVIEW DR,MILLSBORO,19966,02/05/2020,Routine,3-501.18,"Ready-To-Eat Time/Temperature Control for Safety Food, Disposition","26670 CENTERVIEW DR
MILLSBORO, DE 19966
(38.573987, -75.287761)"
MIRO'S PIZZA,204 N MARYLAND AVE,WILMINGTON,19804,10/14/2021,Routine,,,"204 N MARYLAND AVE
WILMINGTON, DE 19804
(39.729623, -75.584388)"
MISAKI,YORK BEACH MALL,BETHANY BEACH,19930,02/20/2020,Routine,6-301.12,Hand Drying Provision,
MISTER FROSTIE,38354 MILLSBORO HWY,MILLSBORO,19966,07/30/2020,Routine,,,"38354 MILLSBORO HWY
MILLSBORO, DE 19966
(38.461605, -75.382885)"
MOE'S DELI,33260 COASTAL HWY,BETHANY BEACH,19930,05/11/2021,Routine,,,"33260 COASTAL HWY
BETHANY BEACH, DE 19930
(38.52309, -75.055475)"
MOE'S SOUTHWEST GRILL,19266 COASTAL HWY,REHOBOTH BEACH,19971,02/10/2020,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","19266 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.724414, -75.124661)"
MOJO COFFEE SHOP,101 N BOARDWALK,REHOBOTH BEACH,19971,08/11/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","101 N BOARDWALK
REHOBOTH BEACH, DE 19971
(38.7182, -75.076279)"
MOJO COFFEE SHOP,101 N BOARDWALK,REHOBOTH BEACH,19971,08/11/2021,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","101 N BOARDWALK
REHOBOTH BEACH, DE 19971
(38.7182, -75.076279)"
MOJO COFFEE SHOP,101 N BOARDWALK,REHOBOTH BEACH,19971,08/11/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"101 N BOARDWALK
REHOBOTH BEACH, DE 19971
(38.7182, -75.076279)"
MOJO COFFEE SHOP,101 N BOARDWALK,REHOBOTH BEACH,19971,08/11/2021,Routine,6-301.12,Hand Drying Provision,"101 N BOARDWALK
REHOBOTH BEACH, DE 19971
(38.7182, -75.076279)"
MOJO COFFEE SHOP,101 N BOARDWALK,REHOBOTH BEACH,19971,08/11/2021,Routine,2-103.11,Person-In-Charge-Duties,"101 N BOARDWALK
REHOBOTH BEACH, DE 19971
(38.7182, -75.076279)"
